"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' pare a fi un nume de rețea locală, dar numele de rețea locală nu sunt permise"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' pare să fie o adresă IP, dar adresele IP nu sunt permise"
"'%value%' does not appear to be a valid local network name","'%value%' nu pare să fie un nume valid de rețea locală"
"* Required Fields","* Câmpuri obligatorii"
"ALL GROUPS","Toate grupurile"
"Account Dashboard","Informatii generale"
"Account Information","Informațiile contului"
"Account Sharing Options","Partajare opțiuni cont"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmarea contului este necesară. Un email v-a fost trimis la adresa cu care v-ați înregistrat. Vă rugăm să folosiți linkul de confirmare din email pentru a finaliza procesul de creare a contului. Pentru a retrimite emailul de confirmare vă rugăm să <a href=""%s"">apăsați aici</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Este necesară confirmarea contului. Un email a fost trimis la adresa cu care v-ați înregistrat. Vă rugăm să folosiți linkul de confirmare din email pentru a finaliza procesul de creare a contului. Pentru a retrimite emailul de confirmare vă rugăm să <a href=""%s"">apăsați aici</a>."
"Action","Acțiune"
"Add New Address","Adaugă o adresă nouă"
"Add New Customer","Adaugă un Client nou"
"Add New Customer Group","Adaugă un Grup nou de clienți"
"Added From","Adaugă de la"
"Additional Address Entries","Adrese alternative"
"Address","Adresă"
"Address Book","Adrese"
"Address Books","Adrese"
"Address Information","Informații adresă"
"Address Templates","Templat Adresă"
"Addresses","Adrese"
"Admin","Admin"
"All","Toate"
"All Store Views","All Store Views"
"All countries","Toate țările"
"Always optional.","Întodeauna optional."
"Amount","Valoare"
"An error occurred while deleting the address.","A apărut o eroare în timpul ștergerii adresei."
"An error occurred while retrieving the option value: %s.","A apărut o eroare când se prelua valoarea opțiunii: %s."
"An error occurred while saving the collection, aborting. Error: %s","A apărut o eroare în timp ce salvam colectarea, se renunta. Eroare: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Un ID cu o opțiune nevalidă este specificat pentru %s (%s), trec peste înregistrare."
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Sunteți sigur că doriți să eliminați acest element?"
"Are you sure you want to cancel adding of this address?","Sunteți sigur că doriți să anulați adăugarea aceastei adrese?"
"Are you sure you want to delete this address?","Sunteți sigur că doriți să ștergeți această adresă?"
"Are you sure?","Sunteți sigur?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
