"""Remember Me"" Default Value","""Tine-mă minte"" Valoare implicită"
"(Not %s?)","(Nu sunt %s?)"
"* Required Fields","* Câmpuri obligatorii"
"Address","Adresă"
"Address Information","Informatii adresă"
"Already registered?","Deja înregistrat?"
"Back","Înapoi"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în magazinul nostru veţi putea să plătiţi mai uşor, salva mai multe adrese de livrare si facturare, să urmăriți comenzile şi multe altele."
"Cannot load configuration from file %s.","Nu se poate încărca fișierul de configurare de la %s."
"Checkout as Guest","Comandă fară cont"
"Checkout as a Guest or Register","Finalizare comandă"
"City","Oraș"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Close"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","Country"
"Create an Account","Create an Account"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Email Address"
"Enable ""Remember Me""","Activează ""Tine-mă minte"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Se încarcă pasul următor..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"Password","Parolă"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personal Information"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Vreau să ma înregistrez"
"Register and save time!","Înregistrați-vă și câștigați timp!"
"Register to Create an Account","Inregistrați-vă pentru a Creea un cont"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Autentificare clienți înregistrați"
"Remember Me","Tine-mă minte"
"Save in address book","Save in address book"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"VAT Number","COD CIF"
"Welcome, %s!","Bine ai venit, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Cod Poștal"
