"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Nume Tag:</strong> %s"
"Action","Action"
"Add","Adaugă"
"Add New Tag","Adaugă Tag Nou"
"Add Tags","Add Tags"
"Add Your Tags:","Add Your Tags:"
"Add tag(s) to product","Add tag(s) to product"
"Add to Cart","Adaugă în Coș"
"Add to Wishlist","Add to Wishlist"
"All Tags","Toate Tag-urile"
"Approved","Aprobat"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Sunteți sigur?"
"Back","Înapoi"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Block Information"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Modifică status"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Țară"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Customer Since"
"Customers","Clienți"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Șterge"
"Delete Tag","Șterge Tag"
"Disabled","Disabled"
"Edit Tag '%s'","Modifică Tag '%s'"
"Email","Email"
"First Name","Prenume"
"General Information","Informații Generale"
"Grid","Grid"
"ID","ID"
"Info","Info"
"Last Name","Nume"
"List","Listă"
"Manage Tags","Administrează Tags"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Nume"
"New Tag","New Tag"
"No matches found.","No matches found."
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Pending","Pending"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","Popular Tags"
"Price","Preț"
"Product Name","Denumire Produs"
"Product SKU","Product SKU"
"Product Tag API","Product Tag API"
"Product Tags","Product Tags"
"Products","Produse"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Elimină"
"Remove product tag","Remove product tag"
"Retrieve list of tags by product","Retrieve list of tags by product"
"Retrieve product tag info","Retrieve product tag info"
"SKU","SKU"
"Save Tag","Salvează Tag"
"Save and Continue Edit","Salvează și Continuă Modificarea"
"Status","Status"
"Store View","Store View"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Tag Name"
"Tagged Products List","Tagged Products List"
"Tags","Tag-uri"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","Tag-uri:"
"Telephone","Telefon"
"The tag has been deleted.","The tag has been deleted."
"There are no tags available.","There are no tags available."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Unable to save tag(s)."
"Update","Update"
"Update product tag","Update product tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"View All Tags","Vezi Toate Tag-urile"
"View Customers","Vezi Clienții"
"View Products","Vezi Produsele"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"ZIP/Post Code","Cod Poștal"
"[STORE VIEW]","[STORE VIEW]"
